INFO 2022-12-20 18:06:09 (29030) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 15 - Liese              - Liese              - https://affenknecht.com/lyrics/rammstein-liese/
INFO 2022-12-20 18:06:09 (29030) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - ----------------------------------------------------------------------------------------------------
INFO 2022-12-20 18:06:09 (29066) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Rosenrot Lyrics
INFO 2022-12-20 18:06:09 (29154) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 1  - Benzin             - Petrol             - https://affenknecht.com/lyrics/rammstein-benzin-lyric-with-english-translation/
INFO 2022-12-20 18:06:09 (29296) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 2  - Mann gegen Mann    - Man against Man    - https://affenknecht.com/lyrics/rammstein-mann-gegen-mann-lyric-with-english-translation/
INFO 2022-12-20 18:06:09 (29354) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 3  - Rosenrot           - Rose-red           - https://affenknecht.com/lyrics/rammstein-rosenrot-lyric-with-english-translation/
INFO 2022-12-20 18:06:09 (29407) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 4  - Spring             - Jump               - https://affenknecht.com/lyrics/rammstein-spring-lyric-with-english-translation/
INFO 2022-12-20 18:06:09 (29464) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 5  - Wo bist Du?        - Where are you?     - https://affenknecht.com/lyrics/rammstein-wo-bist-du-lyric-with-english-translation/
INFO 2022-12-20 18:06:09 (29520) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 6  - Stirb nicht vor mir - Don’t die before me - https://affenknecht.com/lyrics/rammstein-stirb-nicht-vor-mir-lyric-with-english-translation/
INFO 2022-12-20 18:06:09 (29579) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 7  - Zerstören          - Destroy            - https://affenknecht.com/lyrics/rammstein-zerstoren-lyric-with-english-translation/
INFO 2022-12-20 18:06:09 (29633) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 8  - Hilf mir           - Help me            - https://affenknecht.com/lyrics/rammstein-hilf-mir-lyric-with-english-translation/
INFO 2022-12-20 18:06:09 (29695) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 9  - Te quiero Puta!    - I Love you Whore!  - https://affenknecht.com/lyrics/rammstein-te-quiero-puta-lyric-with-english-translation/
INFO 2022-12-20 18:06:10 (29753) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 10 - Feuer und Wasser   - Fire and Water     - https://affenknecht.com/lyrics/rammstein-feuer-und-wasser-lyric-with-english-translation/
INFO 2022-12-20 18:06:10 (29816) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 11 - Ein Lied           - A song             - https://affenknecht.com/lyrics/rammstein-ein-lied-lyric-with-english-translation/
INFO 2022-12-20 18:06:10 (29816) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - ----------------------------------------------------------------------------------------------------
INFO 2022-12-20 18:06:10 (29852) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - Reise Reise Lyrics
INFO 2022-12-20 18:06:10 (29932) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 1  - Reise, Reise       - Travel, travel     - https://affenknecht.com/lyrics/rammstein-reise-reise-lyric-with-english-translation/
INFO 2022-12-20 18:06:10 (29992) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 2  - Mein Teil          - My part            - https://affenknecht.com/lyrics/rammstein-mein-teil-lyric-with-english-translation/
INFO 2022-12-20 18:06:10 (30054) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 3  - Dalai Lama         - Dalai Lama         - https://affenknecht.com/lyrics/rammstein-dalai-lama-lyric-with-english-translation/
INFO 2022-12-20 18:06:10 (30116) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 4  - Keine Lust         - No desire          - https://affenknecht.com/lyrics/rammstein-keine-lust-lyric-with-english-translation/
INFO 2022-12-20 18:06:10 (30183) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 5  - Los                - Less               - https://affenknecht.com/lyrics/rammstein-los-lyric-with-english-translation/
INFO 2022-12-20 18:06:10 (30245) 	 /home/amirhossein/code/python/rammstein_lyrics_crawler/logger.py Fwrite L21 - 6  - Amerika            - America            - https://affenknecht.com/lyrics/rammstein-amerika-lyric-with-english-translation/
